"Name","Address3","Address2","Address","Damage11","Damage12","Damage13","Damage14","Damage2"
" Broadway Clinic North Minneapolis",NA,NA,NA," property damage",NA,NA,NA,NA
" Juxtaposition Arts North Emerson",NA,NA,NA," property damage",NA,NA,NA,NA
" Sew Simple Nicollet and 24th",NA,NA,NA," property damage"," looting",NA,NA,NA
"Park and Lake Car Wash",NA,NA,NA,"windows broken"," graffiti and some interior damage",NA,NA,NA
" Park-Nicollet Minneapolis Clinic",NA,NA,NA," property damage",NA,NA,NA,NA
" Arby's Lake Street",NA,NA,NA," destroyed by fire",NA,NA,NA,NA
" K-Mart Lake Street",NA,NA,NA," property damage",NA,NA,NA,NA
" Penzey's Spices Uptown",NA,NA,NA," property damage"," looting",NA,NA,NA
" Walgreens Hennepin and 27th",NA,NA,NA," property damage",NA,NA,NA,NA
" Midori's Floating World Cafe Lake Street",NA,NA,NA," fire damage",NA,NA,NA,NA
" GM Tobacco Lake and  27th",NA,NA,NA," fire damage",NA,NA,NA,NA
" McDonald's Lake and 31st",NA,NA,NA," property damage",NA,NA,NA,NA
" Walgreens Central and Lowry in Northeast",NA,NA,NA," property damage",NA,NA,NA,NA
" Wells Fargo Lake Street",NA,NA,NA," fire and property damage",NA,NA,NA,NA
" Ladditude Tattoo Lake and 27th",NA,NA,NA," fire damage",NA,NA,NA,NA
" LV's Barbershop Lake and 27th",NA,NA,NA," fire damage",NA,NA,NA,NA
" The Hub Bike Co-op Minnehaha and 30th",NA,NA,NA," property damage",NA,NA,NA,NA
" J-Klips Lake Street",NA,NA,NA," property damage",NA,NA,NA,NA
" 5 Guys Hennepin and 24th",NA,NA,NA," property damage",NA,NA,NA,NA
" Holiday Hennepin and 25th",NA,NA,NA," property damage",NA,NA,NA,NA
" Honda Town Lake and 43rd",NA,NA,NA," property damage",NA,NA,NA,NA
" Tires Plus Lake and 34th",NA,NA,NA," property damage",NA,NA,NA,NA
" Hennepin County Human Service Center",NA,NA,NA," property damage",NA,NA,NA,NA
" ICC Wireless Lake Street",NA,NA,NA," property damage",NA,NA,NA,NA
" Jackson Hewitt Tax Service",NA,NA,NA," property damage",NA,NA,NA,NA
" Little Caesars Lake Street",NA,NA,NA," fire and property damage",NA,NA,NA,NA
" Teppanyaki Grill Lake Street",NA,NA,NA," fire and property damage",NA,NA,NA,NA
" Home Choice Lake Street",NA,NA,NA," fire and property damage",NA,NA,NA,NA
" Dollar General Lake Street",NA,NA,NA," extensive fire damage",NA,NA,NA,NA
" Twin Lake Dental",NA,NA,NA," fire and property damage",NA,NA,NA,NA
" HD Laundry Lake Street",NA,NA,NA," fire and property damage",NA,NA,NA,NA
" Citi Trends Lake Street",NA,NA,NA," fire and property damage",NA,NA,NA,NA
" Total Wireless Lake Street",NA,NA,NA," fire and property damage",NA,NA,NA,NA
" Pineda Tacos Lake Street",NA,NA,NA," property damage",NA,NA,NA,NA
" Subway Lake Street",NA,NA,NA," property damage",NA,NA,NA,NA
" 7 Mile Fashion Express East Lake Street",NA,NA,NA," destroyed by fire",NA,NA,NA,NA
" The Fremont Bar Uptown",NA,NA,NA," property damage"," looting",NA,NA,NA
" O'Reilly Auto Parts West Broadway",NA,NA,NA," extensive fire damage",NA,NA,NA,NA
" Broadway Liquor Outlet West Broadway",NA,NA,NA," property damage"," looting",NA,NA,NA
" Quality Tobacco Lake and 1st",NA,NA,NA," extensive fire damage",NA,NA,NA,NA
" Skol Liquor Store 27th Avenue",NA,NA,NA," property damage"," looting",NA,NA,NA
" Max-It Pawn Shop Cedar Avenue",NA,NA,NA," extensive fire damage",NA,NA,NA,NA
" Minnehaha Liquor Lake Street",NA,NA,NA," property damage"," looting"," extensive fire damage",NA,NA
" Hexagon Bar",NA,"E 26th and 27th",NA," extensive fire damage",NA,NA,NA,NA
" Target Lake Street",NA,NA,NA," looting"," graffiti"," property damage"," fire damage",NA
" Wendy's Lake Street",NA,NA,NA," fire"," destroyed",NA,NA,NA
" AutoZone Lake Street",NA,NA,NA," fire"," destroyed",NA,NA,NA
" Cub Foods Lake Street",NA,NA,NA," looting"," property damage"," fire damage",NA,NA
" 7-Sigma building",NA,NA," 26th and 29th"," fire"," extensive damage",NA,NA,NA
" Minneapolis 3rd Police Precinct",NA,NA,NA," destroyed by fire",NA,NA,NA,NA
" Dollar Tree off Lake Street",NA,NA,NA," property damage"," looting",NA,NA,NA
" Metro by T-Mobile Lake Street",NA,NA,NA," fire"," extensive damage",NA,NA,NA
" Hi Lake Liquor",NA,NA,NA," property damage"," looting",NA,NA,NA
" Speedway East Lake Street",NA,NA,NA," property damage",NA,NA,NA,NA
" East Lake Library",NA,NA,NA," windows smashed"," graffiti",NA,NA,NA
" Precision Tune Auto Care Lake Street",NA,NA,NA," property damage",NA,NA,NA,NA
" U.S. Bank Lake Street",NA,NA,NA," property damage"," graffiti",NA,NA,NA
" Papa Murphy's Pizza East Lake Street",NA,NA,NA," property damage",NA,NA,NA,NA
" Planet Fitness","Lake",NA,NA," property damage",NA,NA,NA,NA
" Domino's Pizza 26th and 28th",NA,NA,NA," property damage",NA,NA,NA,NA
" Urban Forage Winery and Cider House",NA,NA," Lake and 29th"," property damage"," looting",NA,NA,NA
" Gandhi Mahal Restaurant",NA,NA," 27th and Lake"," window smashed",NA,NA,NA,NA
" Frattelone's Ace Hardware East Lake Street",NA,NA,NA," property damage",NA,NA,NA,NA
" MN Transitions Charter School",NA,NA,NA," property damage",NA,NA,NA,NA
" Laundro Max East Lake Street",NA,NA,NA," window smashed",NA,NA,NA,NA
" Soderberg's Floral & Gift East Lake Street",NA,NA,NA," property damage",NA,NA,NA,NA
" East Lake Clinic",NA,NA,NA," property damage",NA,NA,NA,NA
" Seward Pharmacy",NA,NA,NA," window smashed"," graffiti",NA,NA,NA
" Electra Tune Auto Care","Lake St",NA,NA," property damage"," vehicle stolen",NA,NA,NA
" Walgreens",NA,"43rd and Chicago",NA," property damage"," looting",NA,NA,NA
" Elevated Beer Wine & Spirits",NA,NA," Hiawatha Ave"," property damage"," looting",NA,NA,NA
" Schooner's Tavern",NA,NA," barbershop next door"," fire"," property damage",NA,NA,NA
" Seward Co-op",NA,NA," 28th and Franklin"," window smashed"," attempted theft of atm",NA,NA,NA
" Midtown Global Market",NA,NA,NA," property damage"," looting",NA,NA,NA
" Foot Locker East Lake Street",NA,NA,NA," property damage"," looting",NA,NA,NA
" BMO Harris East Lake Street",NA,NA,NA," property damage",NA,NA,NA,NA
" TCF Bank",NA,"38th and Minnehaha",NA," property damage",NA,NA,NA,NA
" Studiiyo23 Hennepin Avenue",NA,NA," Uptown"," property damage"," looting",NA,NA,NA
" DTLR",NA,NA," Broadway"," property damage"," looting",NA,NA,NA
" Uptown Pawn",NA,NA,NA," property damage"," looting",NA,NA,NA
" La Familia Skate Shop",NA,NA,NA," property damage",NA,NA,NA,NA
" Target Uptown",NA,NA,NA," property damage"," looting",NA,NA,NA
" East Lake Liquor",NA,NA,NA," property damage"," looting",NA,NA,NA
" Ingebretsens","Lake",NA,NA," property damage"," windows smashed",NA,NA,NA
" Freewheel Bike",NA,NA,NA," property damage"," windows smashed",NA,NA,NA
" Hamdi Restaurant",NA,NA," Midtown"," property damage"," graffiti",NA,NA,NA
" Hudson's Hardware",NA,NA," East 42nd Street"," property damage and looting",NA,NA,NA,NA
" Birchwood Cafe",NA,NA," East 25th Street"," property damage",NA,NA,NA,NA
" Timberland Uptown",NA,NA,NA," property damage"," looting",NA,NA,NA
" Sunnys Wigs 29th and Lyndale",NA,NA,NA," property damage",NA,NA,NA,NA
" Thurston Jewelers West Lake Street",NA,NA,NA," property damage",NA,NA,NA,NA
" Banadir Pharmacy West Lake Street",NA,NA,NA," property damage and looting",NA,NA,NA,NA
" Sephora Uptown",NA,NA,NA," property damage",NA,NA,NA,NA
" Gamestop Uptown",NA,NA,NA," property damage"," looting",NA,NA,NA
" Indulge and Bloom",NA,NA," Uptown"," property damage",NA,NA,NA,NA
" H&M Uptown",NA,NA,NA," windows smashed",NA,NA,NA,NA
" Apple Store Uptown",NA,NA,NA," windows smashed"," looting",NA,NA,NA
" Urban Outfitters Uptown",NA,NA,NA," door window smashed",NA,NA,NA,NA
" Smokeless Northeast",NA,NA,NA," vandalized"," closed till further notice",NA,NA,NA
" AutoZone",NA,"501 West Broadway"," North Minneapolis"," unconfirmed report of looting"," property damage",NA,NA,NA
" Buzzmart",NA,NA," downtown Minneapolis"," property damage",NA,NA,NA,NA
" Town Talk Diner",NA,NA," Lake Street"," extensive property damage ",NA,NA,NA,NA
" Bondesque",NA,NA,NA," property damage ",NA,NA,NA,NA
" T-Mobile Lexington and Larpenteur",NA,NA,NA," property damage",NA,NA,NA,NA
" Turf Club",NA,NA,NA," property damage ",NA,NA,NA,NA
" Great Health Nutrition",NA,NA,NA," looting",NA,NA,NA,NA
" Gordon Parks High School",NA,NA,NA," property damage ",NA,NA,NA,NA
" Trader Joe's St. Paul",NA,NA,NA," property damage"," looting",NA,NA,NA
" A1 Lock Service","Snelling",NA,NA," property damage",NA,NA,NA,NA
" Holiday Station",NA,"Wabasha and Plato",NA," property damage and looting",NA,NA,NA,NA
" Gold'n Treasures","Grand Ave",NA,NA," property damage and looting",NA,NA,NA,NA
" Speedway",NA,"Grand and Cleveland",NA," extensive fire damage",NA,NA,NA,NA
" T-Mobile",NA,"Excelsior and Grand",NA," property damage"," looting",NA,NA,NA
" 1st Grand Avenue Liquors","Grand and Milton",NA,NA," property damage"," looting",NA,NA,NA
" Foot Locker Midway",NA,NA,NA," extensive fire damage",NA,NA,NA,NA
" GameStop Midway",NA,NA,NA," extensive fire damage"," looting",NA,NA,NA
" To New York Midway",NA,NA,NA," property damage",NA,NA,NA,NA
" Peking Garden Midway",NA,NA,NA," property damage",NA,NA,NA,NA
" Lloyd's Pharmacy Snelling and Minnehaha",NA,NA,NA," destroyed by fire",NA,NA,NA,NA
" Target Midway",NA,NA,NA," property damage"," looting",NA,NA,NA
" CVS University Avenue",NA,NA,NA," property damage"," looting",NA,NA,NA
" Max It Pawn Shop University Avenue",NA,NA,NA," property damage"," looting",NA,NA,NA
" Verizon Store Hamline Avenue",NA,NA,NA," property damage",NA,NA,NA,NA
" Noodles & Co Hamline Avenue",NA,NA,NA," property damage",NA,NA,NA,NA
" Vitamine Shoppe Hamline Avenue",NA,NA,NA," property damage",NA,NA,NA,NA
" Big Top Liquors Midway",NA,NA,NA," property damage",NA,NA,NA,NA
" TJ Maxx Midway",NA,NA,NA," property damage"," small fire",NA,NA,NA
" Sprint store Midway",NA,NA,NA," property damage"," looting",NA,NA,NA
" Midway Tobacco Outlet Plus",NA,NA,NA," property damage",NA,NA,NA,NA
" NAPA Auto Parts University Avenue",NA,NA,NA," property damage"," fire",NA,NA,NA
" T-Mobile","Arcade and York",NA,NA," property damage"," looting",NA,NA,NA
" LeeAnn Chinn Midway",NA,NA,NA," property damage"," graffiti",NA,NA,NA
" America's Best Contacts & Eyeglasses Midway",NA,NA,NA," property damage"," graffiti",NA,NA,NA
" Furniture Barn Midway",NA,NA,NA," property damage"," graffiti"," fire",NA,NA
" BP","University Avenue",NA,NA," property damage",NA,NA,NA,NA
" Walgreens","Randolph and Snelling",NA,NA," property damage"," looting",NA,NA,NA
" Discount Tire Co. Midway",NA,NA,NA," property damage",NA,NA,NA,NA
" O'Reilly Auto Parts Lexington",NA,NA,NA," property damage"," fire",NA,NA,NA
" TCF Bank Lexington and University",NA,NA,NA," property damage",NA,NA,NA,NA
" Lululemon Grand Avenue",NA,NA,NA," property damage"," looting",NA,NA,NA
" Speedway University Ave",NA,NA,NA," property damage"," fire",NA,NA,NA
" Ananya Dance Theater University Ave",NA,NA,NA," property damage",NA,NA,NA,NA
" Springboard for the Arts University Ave",NA,NA,NA," property damage"," fire",NA,NA,NA
" 7-Mile Sportwear University Ave",NA,NA,NA," property damage"," looting",NA,NA,NA
" Fire n Ice Chicken",NA,NA,NA," property damage",NA,NA,NA,NA
" Liquor Barrel","West 7th",NA,NA," property damage"," looting",NA,NA,NA
" Moellers Jewelry",NA,NA," Highland"," property damage",NA,NA,NA,NA
" The Fixery",NA,NA," Highland"," property damage",NA,NA,NA,NA
" Bole Ethiopian Restaurant",NA,NA,NA," fire",NA,NA,NA,NA
" Enterprise University Avenue",NA,NA,NA," fire",NA,NA,NA,NA
" Goodwill",NA,NA,NA," property damage ",NA,NA,NA,NA
" Target Maplewood",NA,NA,NA," property damage and looting",NA,NA,NA,NA
" The Jewelers Saint Anthony",NA,NA,NA," property damage",NA,NA,NA,NA
" GameStop Brooklyn Center",NA,NA,NA," property damage"," looting",NA,NA,NA
" Walmart Brooklyn Center",NA,NA,NA," property damage"," looting",NA,NA,NA
". T-Mobile Store Brooklyn Center",NA,NA,NA," property damage",NA,NA,NA,NA
" Family Dollar Brooklyn Center",NA,NA,NA," property damage",NA,NA,NA,NA
" Walgreens 63rd and Brooklyn Blvd.",NA,NA," Brooklyn Center"," property damage",NA,NA,NA,NA
" Western Service Center",NA,NA," Apple Valley"," property"," fire"," and water damage",NA,NA
